frame_0.jpg;0
frame_1.jpg;0
frame_2.jpg;0
frame_3.jpg;0
frame_4.jpg;0
frame_5.jpg;0
frame_6.jpg;1
frame_7.jpg;1
frame_8.jpg;1
frame_9.jpg;0
frame_10.jpg;0
frame_11.jpg;0
frame_12.jpg;0
frame_13.jpg;0
frame_14.jpg;0
frame_15.jpg;0
frame_16.jpg;0
frame_17.jpg;0
frame_18.jpg;0
frame_19.jpg;0
frame_20.jpg;0
frame_21.jpg;0
frame_22.jpg;0
frame_23.jpg;0
frame_24.jpg;0
frame_25.jpg;0
frame_26.jpg;0
frame_27.jpg;0
frame_28.jpg;0
frame_29.jpg;0
frame_30.jpg;0
frame_31.jpg;0
frame_32.jpg;0
frame_33.jpg;0
frame_34.jpg;0
frame_35.jpg;0
frame_36.jpg;0
frame_37.jpg;0
frame_38.jpg;0
frame_39.jpg;0
frame_40.jpg;0
frame_41.jpg;0
frame_42.jpg;0
frame_43.jpg;0
frame_44.jpg;0
frame_45.jpg;0
frame_46.jpg;0
frame_47.jpg;0
frame_48.jpg;0
frame_49.jpg;0
frame_50.jpg;0
frame_51.jpg;0
frame_52.jpg;0
frame_53.jpg;0
frame_54.jpg;0
frame_55.jpg;0
frame_56.jpg;0
frame_57.jpg;0
frame_58.jpg;0
frame_59.jpg;0
frame_60.jpg;0
frame_61.jpg;0
frame_62.jpg;0
frame_63.jpg;0
frame_64.jpg;0
frame_65.jpg;0
frame_66.jpg;0
frame_67.jpg;0
frame_68.jpg;0
frame_69.jpg;0
frame_70.jpg;0
frame_71.jpg;0
frame_72.jpg;0
frame_73.jpg;0
frame_74.jpg;0
frame_75.jpg;0
frame_76.jpg;0
frame_77.jpg;0
frame_78.jpg;1
frame_79.jpg;0
frame_80.jpg;0
frame_81.jpg;0
frame_82.jpg;0
frame_83.jpg;0
frame_84.jpg;0
frame_85.jpg;0
frame_86.jpg;0
frame_87.jpg;0
frame_88.jpg;0
frame_89.jpg;0
frame_90.jpg;0
frame_91.jpg;0
frame_92.jpg;0
frame_93.jpg;0
frame_94.jpg;0
frame_95.jpg;0
frame_96.jpg;0
frame_97.jpg;0
frame_98.jpg;0
frame_99.jpg;0
frame_100.jpg;0
frame_101.jpg;0
frame_102.jpg;0
frame_103.jpg;0
frame_104.jpg;0
frame_105.jpg;0
frame_106.jpg;0
frame_107.jpg;0
frame_108.jpg;0
frame_109.jpg;0
frame_110.jpg;0
frame_111.jpg;0
frame_112.jpg;0
frame_113.jpg;0
frame_114.jpg;0
frame_115.jpg;0
frame_116.jpg;0
frame_117.jpg;0
frame_118.jpg;0
frame_119.jpg;0
frame_120.jpg;0
frame_121.jpg;0
frame_122.jpg;0
frame_123.jpg;0
frame_124.jpg;0
frame_125.jpg;0
frame_126.jpg;0
frame_127.jpg;0
frame_128.jpg;0
frame_129.jpg;0
frame_130.jpg;0
frame_131.jpg;0
frame_132.jpg;0
frame_133.jpg;0
frame_134.jpg;0
frame_135.jpg;0
frame_136.jpg;0
frame_137.jpg;0
frame_138.jpg;0
frame_139.jpg;0
frame_140.jpg;0
frame_141.jpg;0
frame_142.jpg;0
frame_143.jpg;0
frame_144.jpg;0
frame_145.jpg;0
frame_146.jpg;0
frame_147.jpg;0
frame_148.jpg;0
frame_149.jpg;0
frame_150.jpg;0
frame_151.jpg;0
frame_152.jpg;0
frame_153.jpg;0
frame_154.jpg;0
frame_155.jpg;0
frame_156.jpg;0
frame_157.jpg;0
frame_158.jpg;0
frame_159.jpg;0
frame_160.jpg;0
frame_161.jpg;0
frame_162.jpg;0
frame_163.jpg;0
frame_164.jpg;0
frame_165.jpg;0
frame_166.jpg;0
frame_167.jpg;0
frame_168.jpg;0
frame_169.jpg;0
frame_170.jpg;0
frame_171.jpg;0
frame_172.jpg;0
frame_173.jpg;0
frame_174.jpg;0
frame_175.jpg;0
frame_176.jpg;0
frame_177.jpg;0
frame_178.jpg;0
frame_179.jpg;0
frame_180.jpg;0
frame_181.jpg;0
frame_182.jpg;0
frame_183.jpg;0
frame_184.jpg;0
frame_185.jpg;0
frame_186.jpg;0
frame_187.jpg;0
frame_188.jpg;0
frame_189.jpg;0
frame_190.jpg;0
frame_191.jpg;0
frame_192.jpg;0
frame_193.jpg;0
frame_194.jpg;0
